"Sample","Family","Temperature","Individual","Tissue (mg)","Dilution","Run used","Mean lum.","CV (%)","High CV (>15%)","Well glycogen (ug/mL)","Normalized glycogen (ug/mL/mg)","In std range"
"1_01_ambient","Family 1","ambient","01",7,25,"2026-07-30",10801.7,5,"no",3.29,11.75,"yes"
"1_02_ambient","Family 1","ambient","02",4.7,25,"2026-07-30",14632.3,1.3,"no",4.55,24.2,"yes"
"1_03_ambient","Family 1","ambient","03",2.5,25,"2026-07-30",7372.7,3.8,"no",2.162,21.62,"yes"
"1_04_ambient","Family 1","ambient","04",10.7,25,"2026-07-30",39485.7,6.4,"no",12.727,29.74,"yes"
"1_05_ambient","Family 1","ambient","05",7.9,25,"2026-07-30",22099.3,2.7,"no",7.007,22.17,"yes"
"1_06_ambient","Family 1","ambient","06",11,200,"2026-08-03",9218.3,0.9,"no",2.548,46.33,"yes"
"1_07_ambient","Family 1","ambient","07",6.1,25,"2026-07-30",5075.7,5.4,"no",1.406,5.76,"yes"
"1_08_ambient","Family 1","ambient","08",24.8,200,"2026-08-03",30767.3,0.9,"no",9.883,79.7,"yes"
"1_01_36C","Family 1","36C","01",9.6,25,"2026-07-30",31844,5,"no",10.213,26.6,"yes"
"1_02_36C","Family 1","36C","02",9.2,25,"2026-07-30",5679,6.6,"no",1.605,4.36,"yes"
"1_03_36C","Family 1","36C","03",3.1,25,"2026-07-30",4831.7,9.9,"no",1.326,10.69,"yes"
"1_04_36C","Family 1","36C","04",12.4,25,"2026-07-30",5075.3,30.1,"yes",1.406,2.83,"yes"
"1_05_36C","Family 1","36C","05",25.7,200,"2026-08-03",8742,2.7,"no",2.386,18.57,"yes"
"1_06_36C","Family 1","36C","06",13,25,"2026-07-30",56800,1.9,"no",18.424,35.43,"yes"
"1_07_36C","Family 1","36C","07",6.1,25,"2026-07-30",21659.7,4.1,"no",6.862,28.12,"yes"
"1_08_36C","Family 1","36C","08",8.8,25,"2026-07-30",46235,3.5,"no",14.948,42.46,"yes"
"9_01_ambient","Family 9","ambient","01",7.3,25,"2026-07-30",7336.3,3.3,"no",2.15,7.36,"yes"
"9_02_ambient","Family 9","ambient","02",4.4,25,"2026-07-30",4990.7,4.7,"no",1.378,7.83,"yes"
"9_03_ambient","Family 9","ambient","03",4.3,25,"2026-07-30",11467,5.1,"no",3.509,20.4,"yes"
"9_04_ambient","Family 9","ambient","04",1.8,25,"2026-07-30",5652.7,6.4,"no",1.596,22.17,"yes"
"9_05_ambient","Family 9","ambient","05",9.2,200,"2026-08-03",6541.7,0.8,"no",1.637,35.58,"yes"
"9_06_ambient","Family 9","ambient","06",4.3,25,"2026-07-30",3648.7,6.5,"no",0.937,5.45,"yes"
"9_07_ambient","Family 9","ambient","07",2.4,25,"2026-07-30",9969,4.9,"no",3.016,31.42,"yes"
"9_08_ambient","Family 9","ambient","08",7.4,25,"2026-07-30",2677.7,5.3,"no",0.617,2.09,"yes"
"9_01_36C","Family 9","36C","01",7.7,25,"2026-07-30",14412.7,5.9,"no",4.478,14.54,"yes"
"9_02_36C","Family 9","36C","02",15.7,25,"2026-07-30",12523.3,4.4,"no",3.856,6.14,"yes"
"9_03_36C","Family 9","36C","03",10.4,25,"2026-07-30",43856.7,3.2,"no",14.165,34.05,"yes"
"9_04_36C","Family 9","36C","04",11.3,25,"2026-07-30",23983.3,2.2,"no",7.627,16.87,"yes"
"9_05_36C","Family 9","36C","05",9.2,25,"2026-07-30",49780.7,4.3,"no",16.114,43.79,"yes"
"9_06_36C","Family 9","36C","06",4.3,25,"2026-07-30",14106,3.2,"no",4.377,25.45,"yes"
"9_07_36C","Family 9","36C","07",2.4,25,"2026-07-30",2408,11,"no",0.528,5.5,"yes"
"9_08_36C","Family 9","36C","08",4.9,25,"2026-07-30",18651,6.6,"no",5.872,29.96,"yes"
