row_id,col_id,well_id,value,plate_id,time_hr,is_blank,exclude_from_analysis,exclude_reason,family_id_group,sample_id_group,treatment_group,weight_g_measurement,width_mm_measurement,length_mm_measurement,area_mm2_measurement,sample_key,value_t0,fold_change,trace_id,mean_blank_rfu,mean_blank_fc,corrected_fc,metabolism_per_area_mm2_measurement
A,1,A1,125,b,0,FALSE,FALSE,NA,10,1,NA,NA,NA,NA,186.336,1,125,1,1,116,0.999043062200957,9.56937799043045e-4,5.13554975443846e-6
A,2,A2,123,b,0,FALSE,FALSE,NA,7,2,NA,NA,NA,NA,122.483,2,123,1,2,116,0.999043062200957,9.56937799043045e-4,7.812821363316092e-6
A,3,A3,131,b,0,FALSE,FALSE,NA,1,3,NA,NA,NA,NA,183.557,3,131,1,3,116,0.999043062200957,9.56937799043045e-4,5.2133004954485255e-6
A,4,A4,141,b,0,FALSE,FALSE,NA,8,4,NA,NA,NA,NA,209.685,4,141,1,4,116,0.999043062200957,9.56937799043045e-4,4.563692200410353e-6
B,1,B1,152,b,0,FALSE,FALSE,NA,3,5,NA,NA,NA,NA,172.67,5,152,1,5,116,0.999043062200957,9.56937799043045e-4,5.542003816777929e-6
B,2,B2,140,b,0,FALSE,FALSE,NA,9,6,NA,NA,NA,NA,106.442,6,140,1,6,116,0.999043062200957,9.56937799043045e-4,8.990227532769442e-6
B,3,B3,144,b,0,FALSE,FALSE,NA,5,7,NA,NA,NA,NA,174.392,7,144,1,7,116,0.999043062200957,9.56937799043045e-4,5.487280374346559e-6
B,4,B4,145,b,0,FALSE,FALSE,NA,9b,8,NA,NA,NA,NA,181.477,8,145,1,8,116,0.999043062200957,9.56937799043045e-4,5.273052778275181e-6
C,1,C1,179,b,0,FALSE,FALSE,NA,6,9,NA,NA,NA,NA,198.653,9,179,1,9,116,0.999043062200957,9.56937799043045e-4,4.8171323818066935e-6
C,2,C2,131,b,0,FALSE,FALSE,NA,8,10,NA,NA,NA,NA,139.825,10,131,1,10,116,0.999043062200957,9.56937799043045e-4,6.8438247741322726e-6
C,3,C3,136,b,0,FALSE,FALSE,NA,6,11,NA,NA,NA,NA,125.93,11,136,1,11,116,0.999043062200957,9.56937799043045e-4,7.598966084674382e-6
