"Sample","Family","Individual","Temperature","Protein (mg)","Raw rate (mA412/min)","Activity, no BG (mU/mg)","Activity, published (mU/mg)","Reps used","CV used (%)","QC"
"F05_01_ambient","F05","01","ambient",0.307,7.6,134,129.985,"3/3",4.6,"usable"
"F05_02_ambient","F05","02","ambient",0.364,8.5,126.4,123.008,"3/3",4.1,"usable"
"F05_03_ambient","F05","03","ambient",0.665,13.48,109.7,107.782,"3/3",2.2,"usable"
"F05_04_ambient","F05","04","ambient",0.395,10.18,139.3,136.192,"3/3",2.5,"usable"
"F05_05_ambient","F05","05","ambient",0.249,5.62,122.1,116.931,"3/3",1.9,"usable"
"F05_06_ambient","F05","06","ambient",0.781,13.62,94.3,92.676,"3/3",1.9,"usable"
"F05_07_ambient","F05","07","ambient",0.591,11.3,103.5,101.361,"3/3",1.3,"usable"
"F05_08_ambient","F05","08","ambient",0.946,14.73,84.2,82.906,"3/3",0.8,"usable"
"F05_01_36C","F05","01","36C",0.334,2.33,39.7,36.96,"3/3",3.3,"usable"
"F05_02_36C","F05","02","36C",0.191,2.37,70.5,66.031,"3/3",2.4,"usable"
"F05_03_36C","F05","03","36C",0.234,2.45,59.7,56.014,"3/3",3.5,"usable"
"F05_04_36C","F05","04","36C",0.372,2.47,37.9,34.95,"3/3",2.3,"usable"
"F05_05_36C","F05","05","36C",0.583,2.33,22.7,20.972,"3/3",1.2,"usable"
"F05_06_36C","F05","06","36C",0.443,2.37,30.5,27.399,"3/3",2.4,"usable"
"F05_07_36C","F05","07","36C",0.389,2.37,34.7,32.21,"3/3",1.2,"usable"
"F05_08_36C","F05","08","36C",0.475,2.43,29.1,26.948,"3/3",7.8,"usable"
"F07_01_ambient","F07","01","ambient",0.092,3.43,207.8,207.819,"3/3",1.7,"usable"
"F07_02_ambient","F07","02","ambient",0.378,7.43,109.6,109.6,"3/3",1.9,"usable"
"F07_03_ambient","F07","03","ambient",0.404,7.18,98.9,98.879,"2/3",6.4,"usable"
"F07_04_ambient","F07","04","ambient",0.196,4.97,141.2,141.243,"3/3",1.2,"usable"
"F07_05_ambient","F07","05","ambient",0.231,6.53,157.8,157.813,"3/3",1.6,"usable"
"F07_06_ambient","F07","06","ambient",0.392,7.2,102.4,102.432,"3/3",1.8,"usable"
"F07_07_ambient","F07","07","ambient",0.576,8.22,79.6,79.566,"3/3",0.7,"usable"
"F07_08_ambient","F07","08","ambient",0.196,4.88,138.8,138.824,"3/3",0.6,"usable"
"F07_01_36C","F07","01","36C",0.232,4.93,118.4,118.446,"3/3",1.2,"usable"
"F07_02_36C","F07","02","36C",0.326,7.48,127.8,127.815,"3/3",1.7,"usable"
"F07_03_36C","F07","03","36C",0.422,8.28,109.4,109.428,"3/3",3.1,"usable"
"F07_04_36C","F07","04","36C",0.549,8.52,86.5,86.544,"3/3",1.5,"usable"
"F07_05_36C","F07","05","36C",0.15,4.37,162.5,162.517,"3/3",0.7,"usable"
"F07_06_36C","F07","06","36C",0.174,3.7,118.7,118.679,"3/3",2.3,"usable"
"F07_07_36C","F07","07","36C",0.363,7.05,108.2,108.153,"3/3",0.7,"usable"
"F07_08_36C","F07","08","36C",0.101,3.65,200.6,200.578,"3/3",0,"usable"
