"Sample","Well ID","Mean 595","CV 595 (%)","CV concentration (%)","Calculated concentration (ug/mL)","In standard curve range"
"F07_01_36C","SPL1",1.04,2.55,7.14,663.3,"yes"
"F07_02_36C","SPL2",1.177,3.63,8.5,932.4,"yes"
"F07_03_36C","SPL3",1.315,1.84,3.79,1205.5,"yes"
"F07_04_36C","SPL4",1.499,1.05,1.9,1567.2,"yes"
"F07_06_36C","SPL6",0.955,0.81,2.73,496.5,"yes"
"F07_07_36C","SPL7",1.23,2.69,5.98,1038.1,"yes"
"F07_08_36C","SPL8",0.85,2.67,12.76,289.8,"yes"
"F07_02_ambient","SPL10",1.252,4.03,8.74,1080.1,"yes"
"F07_03_ambient","SPL11",1.29,5.66,11.87,1155.6,"yes"
"F07_05_ambient","SPL13",1.038,4.64,13.24,659.3,"yes"
"F07_07_ambient","SPL15",1.538,3.92,6.98,1644.6,"yes"
"F07_08_ambient","SPL16",0.988,2.18,6.91,560.2,"yes"
