plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,weight_g.measurement,width_mm.measurement,length_mm.measurement,treatment.group,area_mm2.measurement,imageJ_ID
plate-A,A01,FALSE,6,1,,,,,193.749,1
plate-A,A02,FALSE,6,2,,,,,169.793,3
plate-A,A03,FALSE,6,3,,,,,141.088,4
plate-A,A04,FALSE,6,4,,,,,134.507,2
plate-A,B01,FALSE,6,5,,,,,106.908,6
plate-A,B02,FALSE,6,6,,,,,140.679,7
plate-A,B03,FALSE,6,7,,,,,148.805,5
plate-A,B04,FALSE,6,8,,,,,128.888,8
plate-A,C01,FALSE,6,9,,,,,125.014,10
plate-A,C02,FALSE,6,10,,,,,200.916,9
plate-A,C03,FALSE,6,11,,,,,107.265,11
plate-A,C04,TRUE,,,,,,,,
plate-C,A01,FALSE,5,12,,,,,112.849,1
plate-C,A02,FALSE,5,13,,,,,164.485,3
plate-C,A03,FALSE,5,14,,,,,254.244,2
plate-C,A04,FALSE,5,15,,,,,79.599,4
plate-C,B01,FALSE,5,16,,,,,211.327,5
plate-C,B02,FALSE,5,17,,,,,159.444,6
plate-C,B03,FALSE,5,18,,,,,149.346,7
plate-C,B04,TRUE,,,,,,,,
plate-C,C01,FALSE,5,19,,,,,155.219,12
plate-C,C02,FALSE,5,20,,,,,71.444,13
plate-C,C03,FALSE,5,21,,,,,46.448,10
plate-C,C04,FALSE,5,22,,,,,125.389,11
plate-E,A01,FALSE,9,23,,,,,162.364,2
plate-E,A02,TRUE,,,,,,,,
plate-E,A03,FALSE,9,24,,,,,205.187,1
plate-E,A04,FALSE,9,25,,,,,192.777,3
plate-E,B01,FALSE,9,26,,,,,246.338,5
plate-E,B02,FALSE,9,27,,,,,390.761,4
plate-E,B03,FALSE,9,28,,,,,126.352,7
plate-E,B04,FALSE,9,29,,,,,104.873,6
plate-E,C01,FALSE,9,30,,,,,219.839,11
plate-E,C02,FALSE,9,31,,,,,214.193,8
plate-E,C03,FALSE,9,32,,,,,137.397,9
plate-E,C04,FALSE,9,33,,,,,123.939,10
plate-G,A01,FALSE,1,34,,,,,141.852,3
plate-G,A02,FALSE,1,35,,,,,165.658,1
plate-G,A03,FALSE,1,36,,,,,247.113,2
plate-G,A04,FALSE,1,37,,,,,91.48,4
plate-G,B01,FALSE,1,38,,,,,203.716,6
plate-G,B02,TRUE,,,,,,,,
plate-G,B03,FALSE,1,39,,,,,177.123,5
plate-G,B04,FALSE,1,40,,,,,168.246,7
plate-G,C01,FALSE,1,41,,,,,140.809,9
plate-G,C02,FALSE,1,42,,,,,133.364,10
plate-G,C03,FALSE,1,43,,,,,93.387,8
plate-G,C04,FALSE,1,44,,,,,90.527,11
plate-I,A01,FALSE,8,45,,,,,93.944,2
plate-I,A02,FALSE,8,46,,,,,271.858,1
plate-I,A03,FALSE,8,47,,,,,145.425,4
plate-I,A04,FALSE,8,48,,,,,183.472,3
plate-I,B01,TRUE,,,,,,,,
plate-I,B02,FALSE,8,49,,,,,189.15,5
plate-I,B03,FALSE,8,50,,,,,121.473,6
plate-I,B04,FALSE,8,51,,,,,78.386,7
plate-I,C01,FALSE,8,52,,,,,82.36,11
plate-I,C02,FALSE,8,53,,,,,271.279,9
plate-I,C03,FALSE,8,54,,,,,119.204,8
plate-I,C04,FALSE,8,55,,,,,175.806,10
plate-K,A01,FALSE,9b,56,,,,,241.628,2
plate-K,A02,FALSE,9b,57,,,,,238.291,1
plate-K,A03,FALSE,9b,58,,,,,181.316,3
plate-K,A04,FALSE,9b,59,,,,,142.423,4
plate-K,B01,FALSE,9b,60,,,,,162.173,7
plate-K,B02,FALSE,9b,61,,,,,108.862,6
plate-K,B03,FALSE,9b,62,,,,,155.571,5
plate-K,B04,TRUE,,,,,,,,
plate-K,C01,FALSE,9b,63,,,,,151.388,9
plate-K,C02,FALSE,9b,64,,,,,105.138,11
plate-K,C03,FALSE,9b,65,,,,,178.709,10
plate-K,C04,FALSE,9b,66,,,,,223.296,8
plate-M,A01,FALSE,7,67,,,,,122.985,3
plate-M,A02,FALSE,7,68,,,,,163.275,4
plate-M,A03,FALSE,7,69,,,,,211.905,2
plate-M,A04,FALSE,7,70,,,,,154.767,1
plate-M,B01,FALSE,7,71,,,,,131.029,6
plate-M,B02,TRUE,,,,,,,,
plate-M,B03,FALSE,7,72,,,,,157.042,5
plate-M,B04,FALSE,7,73,,,,,145.87,7
plate-M,C01,FALSE,7,74,,,,,187.406,8
plate-M,C02,FALSE,7,75,,,,,165.651,9
plate-M,C03,FALSE,7,76,,,,,179.591,10
plate-M,C04,FALSE,7,77,,,,,148.834,11
plate-O,A01,FALSE,3,78,,,,,210.867,3
plate-O,A02,FALSE,3,79,,,,,268.945,4
plate-O,A03,FALSE,3,80,,,,,206.03,1
plate-O,A04,FALSE,3,81,,,,,227.664,2
plate-O,B01,FALSE,3,82,,,,,175.124,5
plate-O,B02,FALSE,3,83,,,,,208.801,7
plate-O,B03,FALSE,3,84,,,,,141.606,6
plate-O,B04,TRUE,,,,,,,,
plate-O,C01,FALSE,3,85,,,,,220.809,9
plate-O,C02,FALSE,3,86,,,,,199.525,8
plate-O,C03,FALSE,3,87,,,,,154.964,10
plate-O,C04,FALSE,3,88,,,,,197.155,11
plate-Q,A01,FALSE,10,89,,,,,125.373,1
plate-Q,A02,FALSE,10,90,,,,,155.526,4
plate-Q,A03,FALSE,10,91,,,,,293.326,2
plate-Q,A04,FALSE,10,92,,,,,185.545,3
plate-Q,B01,FALSE,10,93,,,,,181.691,5
plate-Q,B02,FALSE,10,94,,,,,209.378,6
plate-Q,B03,FALSE,10,95,,,,,111.631,7
plate-Q,B04,FALSE,10,96,,,,,152.108,8
plate-Q,C01,FALSE,10,97,,,,,204.506,9
plate-Q,C02,TRUE,,,,,,,,
plate-Q,C03,FALSE,10,98,,,,,144.809,11
plate-Q,C04,FALSE,10,99,,,,,214.085,10
