row_id,col_id,well_id,value,plate_id,time_hr,is_blank,exclude_from_analysis,exclude_reason,family_id_group,sample_id_group,treatment_group,width_mm_measurement,length_mm_measurement,weight_mg_measurement,area_mm2_measurement,sample_key,value_t0,fold_change,trace_id,mean_blank_rfu,mean_blank_fc,corrected_fc,metabolism_per_area_mm2_measurement
A,1,A1,202,a,0,FALSE,FALSE,NA,NA,c-01,control,NA,NA,NA,7395,c-01,202,1,c-01,168,0.9725036179450073,0.02749638205499272,3.718239628802261e-6
A,2,A2,195,a,0,FALSE,FALSE,NA,NA,c-25,control,NA,NA,NA,7340,c-25,195,1,c-25,168,0.9725036179450073,0.02749638205499272,3.746101097410452e-6
A,3,A3,244,a,0,FALSE,FALSE,NA,NA,oae-03,oae,NA,NA,NA,6008,oae-03,244,1,oae-03,168,0.9725036179450073,0.02749638205499272,4.5766281716033155e-6
A,4,A4,211,a,0,FALSE,FALSE,NA,NA,oae-27,oae,NA,NA,NA,8749,oae-27,211,1,oae-27,168,0.9725036179450073,0.02749638205499272,3.14280284089527e-6
A,5,A5,178,a,0,FALSE,FALSE,NA,NA,c-05,control,NA,NA,NA,8809,c-05,178,1,c-05,168,0.9725036179450073,0.02749638205499272,3.121396532522729e-6
A,6,A6,222,a,0,FALSE,FALSE,NA,NA,c-29,control,NA,NA,NA,9055,c-29,222,1,c-29,168,0.9725036179450073,0.02749638205499272,3.036596582550273e-6
B,1,B1,204,a,0,FALSE,FALSE,NA,NA,oae-07,oae,NA,NA,NA,5072,oae-07,204,1,oae-07,168,0.9725036179450073,0.02749638205499272,5.421210972987523e-6
B,2,B2,187,a,0,FALSE,FALSE,NA,NA,oae-31,oae,NA,NA,NA,5397,oae-31,187,1,oae-31,168,0.9725036179450073,0.02749638205499272,5.094753021121497e-6
B,3,B3,232,a,0,FALSE,FALSE,NA,NA,c-09,control,NA,NA,NA,9991,c-09,232,1,c-09,168,0.9725036179450073,0.02749638205499272,2.7521151090974596e-6
B,4,B4,207,a,0,FALSE,FALSE,NA,NA,c-33,control,NA,NA,NA,9702,c-33,207,1,c-33,168,0.9725036179450073,0.02749638205499272,2.8340942130481053e-6
B,5,B5,205,a,0,FALSE,FALSE,NA,NA,oae-11,oae,NA,NA,NA,6478,oae-11,205,1,oae-11,168,0.9725036179450073,0.02749638205499272,4.244578890860253e-6
B,6,B6,205,a,0,FALSE,FALSE,NA,NA,oae-35,oae,NA,NA,NA,3394,oae-35,205,1,oae-35,168,0.9725036179450073,0.02749638205499272,8.101467900704985e-6
C,1,C1,197,a,0,FALSE,FALSE,NA,NA,c-13,control,NA,NA,NA,8996,c-13,197,1,c-13,168,0.9725036179450073,0.02749638205499272,3.0565120114487237e-6
C,2,C2,190,a,0,FALSE,FALSE,NA,NA,c-37,control,NA,NA,NA,7650,c-37,190,1,c-37,168,0.9725036179450073,0.02749638205499272,3.5942983078421853e-6
C,3,C3,210,a,0,FALSE,FALSE,NA,NA,oae-15,oae,NA,NA,NA,9695,oae-15,210,1,oae-15,168,0.9725036179450073,0.02749638205499272,2.8361404904582486e-6
C,4,C4,189,a,0,FALSE,FALSE,NA,NA,oae-39,oae,NA,NA,NA,8385,oae-39,189,1,oae-39,168,0.9725036179450073,0.02749638205499272,3.279234592127933e-6
C,5,C5,215,a,0,FALSE,FALSE,NA,NA,c-17,control,NA,NA,NA,6249,c-17,215,1,c-17,168,0.9725036179450073,0.02749638205499272,4.400125148822647e-6
C,6,C6,191,a,0,FALSE,FALSE,NA,NA,c-41,control,NA,NA,NA,7421,c-41,191,1,c-41,168,0.9725036179450073,0.02749638205499272,3.705212512463646e-6
D,1,D1,199,a,0,FALSE,FALSE,NA,NA,oae-19,oae,NA,NA,NA,4858,oae-19,199,1,oae-19,168,0.9725036179450073,0.02749638205499272,5.660021007614804e-6
D,2,D2,216,a,0,FALSE,FALSE,NA,NA,oae-43,oae,NA,NA,NA,11306,oae-43,216,1,oae-43,168,0.9725036179450073,0.02749638205499272,2.4320168101001874e-6
D,3,D3,191,a,0,FALSE,FALSE,NA,NA,c-21,control,NA,NA,NA,5712,c-21,191,1,c-21,168,0.9725036179450073,0.02749638205499272,4.813792376574355e-6
D,4,D4,203,a,0,FALSE,FALSE,NA,NA,c-45,control,NA,NA,NA,9250,c-45,203,1,c-45,168,0.9725036179450073,0.02749638205499272,2.9725818437829964e-6
D,5,D5,245,a,0,FALSE,FALSE,NA,NA,oae-23,oae,NA,NA,NA,6924,oae-23,245,1,oae-23,168,0.9725036179450073,0.02749638205499272,3.971170140813506e-6
A,1,A1,364,a,0.5,FALSE,FALSE,NA,NA,c-01,control,NA,NA,NA,7395,c-01,202,1.801980198019802,c-01,167,0.9667149059334298,0.8352652920863722,1.12950005691193e-4
A,2,A2,361,a,0.5,FALSE,FALSE,NA,NA,c-25,control,NA,NA,NA,7340,c-25,195,1.8512820512820514,c-25,167,0.9667149059334298,0.8845671453486216,1.2051323506112011e-4
