ID,Family,20,44,69,145,164,188
128,8,0,0,0,0,0,1
129,8,0,0,0,0,0,1
130,8,0,0,0,0,0,1
131,8,0,0,0,0,0,1
132,8,0,0,0,0,0,1
133,8,0,0,0,0,0,1
134,8,0,0,0,0,0,1
135,8,0,0,0,0,0,1
136,8,0,0,0,0,0,0
137,8,0,0,0,0,0,0
138,8,0,0,0,0,0,0
139,8,0,0,0,0,0,0
140,8,0,0,0,0,0,0
141,8,0,0,0,0,0,0
142,8,0,0,0,0,0,0
143,8,0,0,0,0,0,0
144,8,0,0,0,0,0,0
145,9,0,0,0,0,0,1
146,9,0,0,0,0,0,1
147,9,0,0,0,0,0,1
148,9,0,0,0,0,0,1
149,9,0,0,0,0,0,1
150,9,0,0,0,0,0,0
151,9,0,0,0,0,0,0
152,9,0,0,0,0,0,0
153,9,0,0,0,0,0,0
154,9,0,0,0,0,0,0
155,9,0,0,0,0,0,0
156,9,0,0,0,0,0,0
157,9,0,0,0,0,0,0
158,9,0,0,0,0,0,0
159,9,0,0,0,0,0,0
160,9,0,0,0,0,0,0
161,9,0,0,0,0,0,0
162,9,0,0,0,0,0,0
163,9,0,0,0,0,0,0
164,9,0,0,0,0,0,0
165,10,0,0,0,0,0,1
166,10,0,0,0,0,0,1
167,10,0,0,0,0,0,1
168,10,0,0,0,0,0,1
169,10,0,0,0,0,0,1
170,10,0,0,0,0,0,1
171,10,0,0,0,0,0,0
172,10,0,0,0,0,0,0
173,10,0,0,0,0,0,0
174,10,0,0,0,0,0,0
175,10,0,0,0,0,0,0
176,10,0,0,0,0,0,0
177,10,0,0,0,0,0,0
178,10,0,0,0,0,0,0
179,10,0,0,0,0,0,0
180,10,0,0,0,0,0,0
181,10,0,0,0,0,0,0
182,10,0,0,0,0,0,0
183,10,0,0,0,0,0,0
184,10,0,0,0,0,0,0
185,10,0,0,0,0,0,0
