"Sample","Well ID","Mean 595","CV 595 (%)","CV concentration (%)","Calculated concentration (ug/mL)","In standard curve range"
"F05_01_36C","SPL1",1.156,3.27,7.93,953.1,"yes"
"F05_02_36C","SPL2",0.962,3.28,11.06,545.8,"yes"
"F05_03_36C","SPL3",1.02,2.41,7.12,667.6,"yes"
"F05_04_36C","SPL4",1.208,0.64,1.43,1062.2,"yes"
"F05_05_36C","SPL5",1.496,5.03,9.22,1666.8,"yes"
"F05_06_36C","SPL6",1.305,4.57,9.56,1265.9,"yes"
"F-05_07_36C","SPL7",1.231,5.22,11.52,1110.5,"yes"
"F05_08_36C","SPL8",1.348,4.02,8.08,1357.5,"yes"
"F05_04_ambient","SPL12",1.24,1.52,3.34,1129.4,"yes"
"F05_05_ambient","SPL13",1.041,1.4,4.07,711.7,"yes"
"F05_07_ambient","SPL15",1.506,5.04,9.19,1687.8,"yes"
